,id,Barbecue,Breads,French,Greek,Kid-Friendly,Main Dishes,Mediterranean,Moroccan,Spanish,Summer,Sunday Lunch,Turkish
167,Mediterranean-Chicken-1122568,1.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0
168,Mediterranean-Penne-608363,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0
169,Greek-Spinach-Pie-1558355,0.0,0.0,0.0,1.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0
170,Mediterranean-herbed-pork-roast-334207,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,1.0,0.0
171,Mediterranean-Salmon-1280567,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0
172,Grilled-Mediterranean-Cedar-Plank-Salmon-1585389,1.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0
173,Greek-Chicken-Flatbread-1566431,0.0,0.0,0.0,1.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0
174,Mediterranean-Pan-Roasted-Salmon-960539,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,1.0,0.0
175,Cauliflower-And-Quinoa-Burgers-With-Greek-Salad-1222296,0.0,0.0,0.0,1.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0
176,Beef-Gyros-with-Tzatziki-Sauce-1087236,0.0,0.0,0.0,1.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0
177,Greek-Spaghetti-with-Tomatoes-and-Feta-1035274,0.0,0.0,0.0,1.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0
178,Greek-Spinach-with-White-Beans-and-Feta-1184557,0.0,0.0,0.0,1.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0
179,Lamb-Kebabs-With-Cucumber-Feta-Relish-1597822,1.0,0.0,0.0,1.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0
180,Mediterranean-Roasted-Spatchcock-Chicken-994915,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0
181,Lemon-Chicken-Gyros-with-Tzatziki-and-Feta-597312,0.0,0.0,0.0,1.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0
182,Greek-Lamb-Chops-with-Tzatziki-Sauce-1255041,1.0,0.0,0.0,1.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0
183,Mediterranean-Cauliflower-Pizza-1001884,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0
184,Greek-Pizza-My-Recipes,0.0,0.0,0.0,1.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0
185,Mediterranean-Chicken-1487867,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0
186,Healthy-Mediterranean-Baked-Fish-1572937,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0
187,Mediterranean-Boneless-Pork-Chops-1639922,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0
188,Chicken_-Artichoke-_-Baby-Potato-Roast-with-Greek-Herbs-_-Lemon-1115476,0.0,0.0,0.0,1.0,0.0,1,1,0.0,0.0,0.0,1.0,0.0
189,Greek-Lemon-Chicken-Skewers-with-Tzatziki-Sauce-1241491,1.0,0.0,0.0,1.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0
