,id,cookTimeInSeconds,ingredientCount,numberOfServings,prepTimeInSeconds,totalTimeInSeconds
255,Mini-Greek-Meat-Loaves-With-Tzatziki-Sauce-Food_com-136100,1800.0,15,4,1800.0,3600
256,Easy-Mediterranean-Angel-Hair-1156684,600.0,12,4,1200.0,1800
257,Mediterranean-Lentil-Casserole-Recipezaar,,13,3,900.0,2700
258,Mediterranean-Chicken-Recipezaar_2,2700.0,13,4,,2700
259,Greek-Shrimp-Lasagna-Toss-Recipezaar,900.0,9,4,1200.0,2100
260,Greek-Baked-Fish-Recipezaar_2,2400.0,12,4,2400.0,4800
261,Mediterranean-Meatball-Ratatouille-Recipezaar,21600.0,14,6,1200.0,22800
262,Greek-Souvlaki-Recipezaar,420.0,10,4,7200.0,7620
263,Greek-Shrimp-With-Orzo-Recipezaar,900.0,10,6,900.0,1800
264,Greek_style-Scampi-Recipezaar,900.0,8,6,900.0,1800
265,Greek-Chicken-Pasta-Recipezaar_2,900.0,14,5,900.0,1800
266,Lamb-Chops-and-Potatoes-With-Olives_-Tomatoes-and-Feta-Cheese-Food_com-75000,,10,4,600.0,3480
267,Mediterranean-Chicken-Breasts-Food_com-172153,960.0,9,4,480.0,1440
268,Greek-Style-Baked-Chicken-Recipezaar,1800.0,9,4,900.0,2700
269,Victorian-Epicure-Greek-Style-Burgers-Recipezaar,600.0,10,4,900.0,1500
270,Greek-Chicken-Recipezaar_1,900.0,10,6,600.0,1500
271,Mediterranean-Salmon-With-White-Beans-Recipezaar,600.0,10,4,900.0,1500
272,Greek-Baked-Ocean-Perch-Recipezaar,900.0,10,2,600.0,1500
273,Skillet-Chicken-Souvlaki-Recipezaar,600.0,18,4,900.0,1500
274,Mediterranean-Stuffed-Cabbage-Rolls-Food_com-65326,7200.0,16,8,2700.0,9900
275,The-Freaky-Greek-_Lamb-Burger_-Food_com-131118,600.0,22,4,1800.0,2400
276,Mediterranean-Cod-With-Tossed-Penne-Pasta-Recipezaar,1200.0,13,6,900.0,2100
277,Gyro-Burger-With-Greek-Salad-Food_com-149045,900.0,19,4,900.0,1800
278,Greek-Lamb-_-Feta-Meatballs-564754,900.0,6,24,300.0,1200
279,Greek-Moussaka-Recipezaar,1800.0,16,8,1800.0,3600
280,Branzino-In-Salsa-Piccante-_mediterranean-Sea-Bass-In-Spicy-Toma-Recipezaar,1800.0,14,6,600.0,2400
281,Greek-Style-Shrimp-With-Tomatoes-and-Feta-America_s-Test-Kitchen-Food_com-119665,,14,3,900.0,2400
282,Mediterranean-Chickpeas-_garbanzo-Beans_-With-Vegetables-Recipezaar,840.0,13,4,600.0,1440
283,My-Mediterranean-Chicken-With-Olives_-Recipezaar,3600.0,11,4,1200.0,4800
284,Mediterranean-Medley-Recipezaar,2100.0,12,8,1200.0,3300
285,Greek-Pork-Souvlaki-1151682,840.0,20,4,1320.0,2160
286,Emeril_s-Moroccan_style-Braised-Chicken-Thighs-With-Preserved-Lemons-And-Green-Olives-Food-Network_1,6600.0,16,5,1200.0,7800
287,Chicken-Stew-With-Olives-and-Lemon-Food_com-92673,1800.0,15,4,900.0,2700
288,Roasted-Mediterranean-Pizza-Food_com-143595,1800.0,15,4,900.0,2700
289,Pasta-With-Kalamata-Olive-Tapenade_-Feta_-And-Chopped-Tomato-Recipezaar,600.0,10,4,600.0,1200
290,Mediterranean-Baked-Chicken-Recipezaar,3600.0,11,6,900.0,4500
291,Mediterranean-Greek-Pizza-Food_com-171776,1200.0,14,16,900.0,2100
292,Greek-Pasta-With-Meatballs-and-Feta-Cheese-Food_com-102556,1800.0,12,4,1200.0,3000
293,Mediterranean-Stuffed-Bell-Peppers-Recipezaar,5400.0,15,4,900.0,6300
294,Greek-Style-Chicken-Skillet-Food_com-83045,1500.0,15,4,900.0,2400
295,Mediterranean-Fish-_flounder_-Recipezaar,1800.0,15,4,600.0,2400
296,Mediterranean-Tuna-Loaf-Food_com-162664,3600.0,20,9,1500.0,5100
297,Tomato-Shrimp-With-Feta-Cheese-Recipezaar,1500.0,13,4,600.0,2100
298,Mediterranean-Chickpeas-With-Vegetables-Food_com-100141,900.0,13,4,600.0,1500
299,Chicken-Breast-Mediterranean-Style-Food_com-132171,1200.0,9,2,600.0,1800
300,Greek-Phyllo-Wrapped-Chicken-Food_com-178446,2700.0,11,4,1200.0,3900
301,Mediterranean-Chicken-W_rosemary-Orzo-Recipezaar,1500.0,11,4,300.0,1800
302,Lamb-Chops-With-Couscous-_-Greek-Style-Recipezaar,900.0,11,4,900.0,1800
303,Greek-Gigantes-Recipezaar,3600.0,10,14,600.0,4200
304,Greek-Lamb-with-Spinach-and-Artichokes-599687,,10,6,,2700
305,Greek-Style-Mahi-Mahi-Food_com-134206,1200.0,11,4,900.0,2100
306,Greek-Chicken-And-Artichoke-Penne-Recipezaar,900.0,13,6,900.0,1800
307,Mediterranean-Baked-Fish-Recipezaar,1200.0,11,5,2400.0,3600
308,Cook_s-Country-Greek-Beef-Kebabs-1166102,,11,5,,1200
309,Greek-Spaghetti---Ww-Core-Food_com-89674,,10,5,300.0,900
310,Greek-Risotto-with-Fresh-Spinach-and-Feta-_Spanakorizo_-896360,,13,5,,4500
