,id,ingredient_list,cuisine,ingredient_string
4546,Lasagna-with-creamy-pink-sauce-303334,"[ricotta cheese, mozzarella cheese, parmesan cheese, eggs, bertolli vineyard premium collect marinara with burgundi wine sauc, Bertolli® Alfredo Sauce, lasagna noodles]",Italian,ricotta cheese mozzarella cheese parmesan cheese egg bertolli vineyard premium collect marinara with burgundi wine sauc bertolli alfredo sauce lasagna noodle
4547,Lemon-Chicken-Piccata-963569,"[boneless chicken breast, salt, pepper, all-purpose flour, butter, olive oil, fresh lemon juice, chicken stock, capers, fresh parsley]",Italian,boneless chicken breast salt pepper all purpose flour butter olive oil fresh lemon juice chicken stock caper fresh parsley
4548,Garlic-bread-pizza-crust-333245,"[warm water, active dry yeast, honey, olive oil, all-purpose flour, salt, garlic powder, dried basil, unsalted butter, garlic cloves, parmesan cheese]",Italian,warm water active dry yeast honey olive oil all purpose flour salt garlic powder dried basil unsalted butter garlic clove parmesan cheese
4549,Creamy-Shells-with-Artichokes-_-Italian-Sausage-1585362,"[pasta, italian sausage, DeLallo Extra Virgin Olive Oil, artichoke hearts, heavy cream, grated parmesan cheese, flat leaf parsley]",Italian,pasta italian sausage delallo extra virgin olive oil artichoke heart heavy cream grated parmesan cheese flat leaf parsley
4550,Spinach-and-Garlic-Spaghetti-with-Pecorino-489516,"[spaghetti, extra-virgin olive oil, garlic cloves, red pepper flakes, herb seasoning, baby spinach, salt, ground black pepper, pecorino cheese]",Italian,spaghetti extra virgin olive oil garlic clove red pepper flake herb seasoning baby spinach salt ground black pepper pecorino cheese
4551,Pioneer-Woman_s-Linguine-with-Clam-Sauce-471959,"[linguine, olive oil, salted butter, garlic cloves, clams, white wine, lemon, flat leaf parsley, whipping cream, ground black pepper, salt, grated parmesan cheese]",Italian,linguine olive oil salted butter garlic clove clam white wine lemon flat leaf parsley whipping cream ground black pepper salt grated parmesan cheese
4552,Italian-Baked-Chicken-and-Potatoes-1067545,"[italian salad dressing, chicken thighs, baking potatoes, grated parmesan cheese]",Italian,italian salad dressing chicken thigh baking potato grated parmesan cheese
4553,30-Minute-Caprese-Pasta-Skillet-1269403,"[rigatoni, extra-virgin olive oil, garlic, cherry tomatoes, fresh basil leaves, fresh mozzarella]",Italian,rigatoni extra virgin olive oil garlic cherry tomato fresh basil leaf fresh mozzarella
4554,Julia-Child_s-Eggplant-Pizzas-_Tranches-d_aubergine-a-l_italienne_-571708,"[globe eggplant, salt, olive oil, italian seasoning, basil leaves, freshly grated parmesan, low fat mozzarella, hot red pepper flakes, extra-virgin olive oil, large garlic cloves, diced tomatoes, dried oregano]",Italian,globe eggplant salt olive oil italian seasoning basil leaf freshly grated parmesan low fat mozzarella hot red pepper flake extra virgin olive oil large garlic clove diced tomato dried oregano
4555,Oven-Baked-Parmesan-Paprika-Skinless-Boneless-Chicken-Breast-1009986,"[boneless skinless chicken breasts, grated parmesan cheese, all-purpose flour, panko breadcrumbs, paprika, salt, pepper, garlic powder, eggs]",Italian,boneless skinless chicken breast grated parmesan cheese all purpose flour panko breadcrumb paprika salt pepper garlic powder egg
4556,Skinny-Italian-Bruschetta-Chicken-1237644,"[chicken breasts, Italian herbs, cheese, bruschetta topping, balsamic vinegar, rub]",Italian,chicken breast italian herb cheese bruschetta topping balsamic vinegar rub
4557,Quick-pasta-carbonara-370040,"[pasta, Oscar Mayer Bacon, Philadelphia Cream Cheese, Kraft Grated Parmesan Cheese, milk, peas, garlic powder]",Italian,pasta oscar mayer bacon philadelphia cream cheese kraft grated parmesan cheese milk pea garlic powder
